af,Afrikaans
id,Bahasa indonesia
ms,Bahasa melayu
bm,Bamanankan
nb,Bokmål
bs,Bosanski
ca,Català
cy,Cymraeg
da,Dansk
de,Deutsch
et,Eesti
en,English
es,Español
eo,Esperanto
fr,Français
gl,Galego
hr,Hrvatski
it,Italiano
rw,Kinyarwanda
la,Latin
lv,Latviešu
lt,Lietuvi\x9akai
hu,Magyar
mt,Malti
nl,Nederlands
xx,No Language
no,Norsk
pl,Polski
pt,Português
ru,Pусский
ro,Română
sk,Slovenčina
sl,Slovenščina
sr,Srpski
vi,Tiếng Việt
tr,Türkçe
wo,Wolof
eu,euskera
zu,isiZulu
uz,ozbek
sq,shqip
fi,suomi
sv,svenska
is,Íslenska
cs,Český
el,ελληνικά
uk,Український
bg,български език
kk,қазақ
he,עִבְרִית
ur,اردو
ar,العربية
fa,فارسی
ps,پښتو
hi,हिन्दी
bn,বাংলা
pa,ਪੰਜਾਬੀ
ta,தமிழ்
te,తెలుగు
th,ภาษาไทย
ka,ქართული
cn,广州话 / 廣州話
ja,日本語
zh,普通话
ko,한국어/조선말
